ä¸­è½¬IP,ä¸­è½¬ç«¯å£,å›æºIP,å›½å®¶,æ•°æ®ä¸­å¿ƒ,IPç±»å‹,ç½‘ç»œå»¶è¿Ÿ
219.76.13.180,443,219.76.13.180,ğŸ‡­ğŸ‡° é¦™æ¸¯ HK,Hong Kong,,61 ms
129.150.50.63,443,129.150.50.63,ğŸ‡¸ğŸ‡¬ æ–°åŠ å¡ SG,Singapore,,93 ms
158.178.238.239,443,104.28.222.46,ğŸ‡¸ğŸ‡¬ æ–°åŠ å¡ SG,Singapore,,83 ms
141.147.163.68,443,141.147.163.68,ğŸ‡¯ğŸ‡µ æ—¥æœ¬ JP,Tokyo,,100 ms
138.2.123.70,443,138.2.123.70,ğŸ‡°ğŸ‡· éŸ©å›½ KR,Seoul,,130 ms
146.56.101.141,443,146.56.101.141,ğŸ‡°ğŸ‡· éŸ©å›½ KR,Seoul,,134 ms
123.58.212.234,443,123.58.212.234,ğŸ‡­ğŸ‡° é¦™æ¸¯ HK,Hong Kong,,153 ms
152.69.162.101,443,152.69.162.101,ğŸ‡¦ğŸ‡º æ¾³å¤§åˆ©äºš AU,Sydney,,168 ms
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,ğŸ‡°ğŸ‡· éŸ©å›½ KR,Seoul,,135 ms
192.9.180.162,443,192.9.180.162,ğŸ‡¦ğŸ‡º æ¾³å¤§åˆ©äºš AU,Sydney,,185 ms
138.2.227.94,443,138.2.227.94,ğŸ‡ºğŸ‡¸ ç¾å›½ US,San Jose,,202 ms
132.226.114.74,443,132.226.114.74,ğŸ‡ºğŸ‡¸ ç¾å›½ US,Los Angeles,,207 ms
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,ğŸ‡ºğŸ‡¸ ç¾å›½ US,Los Angeles,,203 ms
150.230.6.108,443,150.230.6.108,ğŸ‡¯ğŸ‡µ æ—¥æœ¬ JP,Osaka,,208 ms
47.57.245.232,443,47.89.249.212,ğŸ‡ºğŸ‡¸ ç¾å›½ US,San Jose,,46 ms
192.9.158.188,443,2a09:bac5:6440:1232::1d0:c3,ğŸ‡ºğŸ‡¸ ç¾å›½ US,San Jose,,216 ms
8.218.148.106,443,8.218.148.106,ğŸ‡­ğŸ‡° é¦™æ¸¯ HK,Hong Kong,,42 ms
141.147.159.250,443,141.147.159.250,ğŸ‡¯ğŸ‡µ æ—¥æœ¬ JP,Osaka,,123 ms
152.70.155.147,443,152.70.155.147,ğŸ‡ºğŸ‡¸ ç¾å›½ US,Los Angeles,,216 ms
129.146.220.190,443,2603:c020:b:c87e:e94d:56e:f44a:60ac,ğŸ‡ºğŸ‡¸ ç¾å›½ US,Los Angeles,,218 ms
150.230.34.116,443,104.28.201.73,ğŸ‡ºğŸ‡¸ ç¾å›½ US,San Jose,,212 ms
47.88.15.127,443,47.88.15.127,ğŸ‡ºğŸ‡¸ ç¾å›½ US,San Jose,,208 ms
168.138.165.174,443,168.138.165.174,ğŸ‡¸ğŸ‡¬ æ–°åŠ å¡ SG,Singapore,,251 ms
129.213.136.180,443,129.213.136.180,ğŸ‡ºğŸ‡¸ ç¾å›½ US,Ashburn,,261 ms
149.129.250.187,443,149.129.250.187,ğŸ‡®ğŸ‡© å°åº¦å°¼è¥¿äºš ID,Jakarta,,248 ms
47.89.151.17,443,47.89.151.17,ğŸ‡ºğŸ‡¸ ç¾å›½ US,Ashburn,,262 ms
8.209.250.150,443,47.251.149.50,ğŸ‡ºğŸ‡¸ ç¾å›½ US,San Jose,,93 ms
129.151.244.9,443,129.151.244.9,ğŸ‡«ğŸ‡· æ³•å›½ FR,Marseille,,258 ms
130.61.170.78,443,130.61.170.78,ğŸ‡©ğŸ‡ª å¾·å›½ DE,Paris,,287 ms
141.148.224.37,443,2a0b:21c0:1007:c8:0:36e0:5a3b:dd66,ğŸ‡©ğŸ‡ª å¾·å›½ DE,Frankfurt,,285 ms
150.136.61.148,443,2603:c020:4009:349a:e5b2:21c2:5db7:b3d3,ğŸ‡ºğŸ‡¸ ç¾å›½ US,Ashburn,,270 ms
129.151.254.48,443,129.151.254.48,ğŸ‡«ğŸ‡· æ³•å›½ FR,Marseille,,303 ms
152.70.49.115,443,152.70.49.115,ğŸ‡³ğŸ‡± è·å…° NL,Amsterdam,,282 ms
152.70.57.182,443,152.70.57.182,ğŸ‡³ğŸ‡± è·å…° NL,Amsterdam,,295 ms
152.70.90.168,443,2603:c022:8004:1505::5,ğŸ‡°ğŸ‡· éŸ©å›½ KR,Seoul,,286 ms
140.238.214.247,443,140.238.214.247,ğŸ‡¨ğŸ‡­ ç‘å£« CH,Zurich,,308 ms
150.230.238.226,443,150.230.238.226,ğŸ‡®ğŸ‡³ å°åº¦ IN,Mumbai,,357 ms
144.22.252.124,443,144.22.252.124,ğŸ‡§ğŸ‡· å·´è¥¿ BR,SÃ£o Paulo,,364 ms
141.148.203.6,443,141.148.203.6,ğŸ‡®ğŸ‡³ å°åº¦ IN,Mumbai,,367 ms
130.61.23.77,443,130.61.23.77,ğŸ‡©ğŸ‡ª å¾·å›½ DE,Frankfurt,,285 ms
132.226.135.38,443,2a0b:21c0:100a:1b0:0:c215:dfcf:d2c8,ğŸ‡©ğŸ‡ª å¾·å›½ DE,Frankfurt,,296 ms
158.101.209.76,443,158.101.209.76,ğŸ‡³ğŸ‡± è·å…° NL,Amsterdam,,291 ms
129.159.130.38,443,129.159.130.38,ğŸ‡®ğŸ‡± ä»¥è‰²åˆ— IL,Marseille,,392 ms
155.248.177.119,443,2602:ffe4:407:20d9:0:2d6b:774d:c22f,ğŸ‡¸ğŸ‡¬ æ–°åŠ å¡ SG,Singapore,,138 ms
47.57.233.126,443,47.88.21.157,ğŸ‡ºğŸ‡¸ ç¾å›½ US,San Jose,,46 ms
152.67.65.201,443,152.67.65.201,ğŸ‡¨ğŸ‡­ ç‘å£« CH,Zurich,,257 ms
130.61.222.184,443,130.61.222.184,ğŸ‡©ğŸ‡ª å¾·å›½ DE,Frankfurt,,290 ms
158.180.228.226,443,158.180.228.226,ğŸ‡®ğŸ‡¹ æ„å¤§åˆ© IT,Milan,,275 ms
140.238.158.238,443,140.238.158.238,ğŸ‡¨ğŸ‡¦ åŠ æ‹¿å¤§ CA,Toronto,,281 ms
